Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-17,Data breach notification sent to affected users.,Hardware,User A,User B,Group C,Service C,Closed,High,P2,High,High,Model B,2024-12-11 18:12:40,2024-12-11 21:12:40,2024-12-11 22:12:40
CR-18,Failed Workflow - ID: 0000,Hardware,User A,User C,Group A,Service B,New,High,P3,Low,Low,Model C,2024-03-13 18:12:40,,
CR-19,Failed Workflow - ID: 0000,Hardware,User D,User B,Group A,Service A,Resolved,Low,P1,Medium,Medium,Model A,2025-03-31 18:12:40,2025-03-31 20:12:40,2025-03-31 23:12:40
CR-20,Data breach notification sent to affected users.,Hardware,User C,"",Group B,Service A,Closed,High,P1,Medium,Medium,Model A,2025-08-21 18:12:40,2025-08-21 19:12:40,2025-08-21 21:12:40
CR-21,Service unavailable due to maintenance,Access,User C,User B,Group B,Service A,Canceled,Low,P2,High,Low,Model A,2024-07-06 18:12:40,2024-07-06 20:12:40,2024-07-07 00:12:40
CR-22,Service unavailable due to maintenance,Failure,User B,User B,Group B,Service A,On Hold,Medium,P1,Medium,Low,Model B,2025-08-26 18:12:40,,
CR-23,Security patch applied: Monitoring for any issues.,Hardware,User A,User D,Group C,Service B,Resolved,High,P2,Low,Low,Model A,2025-05-24 18:12:40,2025-05-24 20:12:40,2025-05-24 21:12:40
CR-24,User login failed: Account locked due to excessive login attempts.,Network,User C,User A,Group C,Service C,Closed,Low,P1,Medium,Low,Model A,2025-05-19 18:12:40,2025-05-19 21:12:40,2025-05-20 01:12:40
CR-25,Data breach notification sent to affected users.,Complaint,User B,User C,Group C,Service B,In Progress,Medium,P1,High,Low,Model A,2025-05-27 18:12:40,2025-05-27 19:12:40,
CR-26,Data breach notification sent to affected users.,SLA Breach,User B,User B,Group B,Service B,In Progress,High,P2,High,High,Model C,2024-08-29 18:12:40,2024-08-29 20:12:40,
CR-27,Performance report: Sluggish response times on application.,Hardware,User D,User B,Group B,Service B,In Progress,Medium,P2,Low,High,Model C,2025-09-19 18:12:40,2025-09-19 20:12:40,
CR-28,Performance report: Sluggish response times on application.,SLA Breach,User B,User D,Group A,Service B,Canceled,Medium,P1,High,Low,Model A,2023-12-28 18:12:40,2023-12-28 20:12:40,2023-12-29 00:12:40
CR-29,Service outage detected - No connection to database.,Data,User A,User A,Group C,Service A,On Hold,Low,P3,High,High,Model A,2024-03-02 18:12:40,,
CR-30,Service unavailable due to maintenance,Access,User C,User A,Group B,Service C,Resolved,High,P1,Low,High,Model A,2025-09-07 18:12:40,2025-09-07 19:12:40,2025-09-07 20:12:40
CR-31,Network issue: Unable to connect to external API.,Software,User A,User A,Group B,Service B,In Progress,Low,P3,Low,High,Model C,2024-12-05 18:12:40,2024-12-05 21:12:40,
CR-32,Failed Workflow - ID: 0000,Facilities,User C,User B,Group B,Service C,Canceled,Medium,P1,Low,Medium,Model B,2024-05-21 18:12:40,2024-05-21 21:12:40,2024-05-21 22:12:40
CR-33,Critical alert: Database server overload detected.,SLA Breach,User D,User D,Group A,Service B,On Hold,High,P1,Medium,High,Model C,2024-03-30 18:12:40,,
CR-34,Routine check: All systems operational - No issues detected.,Failure,User D,"",Group A,Service A,Closed,Low,P1,Medium,Medium,Model A,2025-08-18 18:12:40,2025-08-18 20:12:40,2025-08-18 21:12:40
CR-35,Failed Workflow - ID: 0000,Failure,User B,User C,Group B,Service A,In Progress,Medium,P3,Low,Low,Model C,2023-12-07 18:12:40,2023-12-07 21:12:40,
CR-36,Network issue: Unable to connect to external API.,Failure,User B,User B,Group C,Service C,In Progress,High,P1,Medium,High,Model B,2024-07-16 18:12:40,2024-07-16 19:12:40,
CR-37,User login failed: Account locked due to excessive login attempts.,Hardware,User A,"",Group B,Service C,Resolved,Medium,P3,Low,Medium,Model C,2024-08-06 18:12:40,2024-08-06 21:12:40,2024-08-07 01:12:40
CR-38,Network issue: Unable to connect to external API.,Data,User B,User C,Group C,Service B,Closed,Medium,P2,High,High,Model A,2025-09-28 18:12:40,2025-09-28 20:12:40,2025-09-28 23:12:40
CR-39,Security patch applied: Monitoring for any issues.,Failure,User B,User C,Group A,Service B,New,Low,P2,High,High,Model C,2025-10-28 18:12:40,,
CR-40,Data breach notification sent to affected users.,Network,User D,User D,Group C,Service A,New,High,P3,Low,Low,Model A,2024-05-14 18:12:40,,
CR-41,Critical alert: Database server overload detected.,Complaint,User C,User C,Group B,Service A,Closed,Low,P1,Low,Medium,Model B,2025-06-19 18:12:40,2025-06-19 20:12:40,2025-06-20 00:12:40
CR-42,User login failed: Account locked due to excessive login attempts.,Access,User C,User A,Group B,Service C,Resolved,Low,P3,Low,High,Model A,2024-07-01 18:12:40,2024-07-01 21:12:40,2024-07-01 23:12:40
CR-43,Performance report: Sluggish response times on application.,Network,User A,User A,Group A,Service C,On Hold,High,P3,Medium,Low,Model A,2024-10-11 18:12:40,,
CR-44,Critical alert: Database server overload detected.,Software,User C,User C,Group C,Service C,Canceled,Medium,P2,High,Medium,Model A,2024-01-09 18:12:40,2024-01-09 20:12:40,2024-01-09 23:12:40
CR-45,Performance report: Sluggish response times on application.,Access,User D,"",Group B,Service A,In Progress,Medium,P3,Low,Medium,Model A,2025-03-16 18:12:40,2025-03-16 19:12:40,
CR-46,Security alert: Unauthorized access attempt detected.,Data,User A,"",Group C,Service C,On Hold,Low,P3,High,Medium,Model C,2025-05-27 18:12:40,,
CR-47,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Hardware,User C,User A,Group A,Service A,On Hold,Medium,P2,Medium,Low,Model B,2024-05-10 18:12:40,,
CR-48,Failed Workflow - ID: 0000,Complaint,User D,User C,Group C,Service A,Canceled,Medium,P2,Medium,Medium,Model A,2025-09-29 18:12:40,2025-09-29 19:12:40,2025-09-29 22:12:40
CR-49,Network issue: Unable to connect to external API.,Network,User A,User C,Group B,Service A,Resolved,Low,P3,Low,High,Model A,2024-01-22 18:12:40,2024-01-22 20:12:40,2024-01-23 00:12:40
CR-50,Failed Workflow - ID: 0000,Failure,User D,User D,Group A,Service B,In Progress,Low,P2,Low,High,Model B,2025-05-02 18:12:40,2025-05-02 20:12:40,
CR-51,Failed Workflow - ID: 0000,Complaint,User D,User A,Group B,Service B,On Hold,High,P1,Medium,Low,Model C,2024-06-17 18:12:40,,
CR-52,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User B,"",Group C,Service C,On Hold,High,P3,Medium,High,Model B,2024-03-21 18:12:40,,
CR-53,Service unavailable due to maintenance,Network,User B,"",Group C,Service C,New,Medium,P1,Low,Medium,Model A,2024-08-13 18:12:40,,
CR-54,Security patch applied: Monitoring for any issues.,Network,User A,User D,Group A,Service A,Resolved,High,P2,Medium,High,Model B,2025-06-06 18:12:40,2025-06-06 20:12:40,2025-06-06 22:12:40
CR-55,Suspicious activity detected on account: User A.,Facilities,User D,User B,Group B,Service C,On Hold,High,P2,Low,Medium,Model A,2023-12-04 18:12:40,,
CR-56,Security alert: Unauthorized access attempt detected.,Network,User D,User C,Group B,Service C,New,Medium,P2,Medium,Low,Model B,2024-10-25 18:12:40,,
CR-57,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User B,User B,Group C,Service B,In Progress,High,P2,Medium,High,Model C,2025-02-04 18:12:40,2025-02-04 19:12:40,
CR-58,Routine check: All systems operational - No issues detected.,Software,User B,"",Group B,Service C,Canceled,Medium,P3,High,Low,Model C,2025-03-18 18:12:40,2025-03-18 19:12:40,2025-03-18 21:12:40
CR-59,Security patch applied: Monitoring for any issues.,Facilities,User C,User C,Group A,Service C,Canceled,Medium,P3,High,High,Model B,2024-06-26 18:12:40,2024-06-26 20:12:40,2024-06-26 21:12:40
CR-60,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Network,User D,User B,Group A,Service A,New,Medium,P1,Medium,Low,Model A,2024-03-15 18:12:40,,
CR-61,Failed Workflow - ID: 0000,Data,User B,User C,Group B,Service C,Closed,Low,P2,Medium,Low,Model A,2024-12-18 18:12:40,2024-12-18 19:12:40,2024-12-18 23:12:40
CR-62,Service unavailable due to maintenance,Failure,User B,User D,Group B,Service B,On Hold,Medium,P1,Low,High,Model C,2025-04-05 18:12:40,,
CR-63,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User A,User C,Group C,Service B,New,Low,P2,Medium,Medium,Model C,2024-04-14 18:12:40,,
CR-64,Suspicious activity detected on account: User A.,Data,User B,User C,Group C,Service C,Closed,Medium,P3,High,Low,Model B,2024-11-23 18:12:40,2024-11-23 20:12:40,2024-11-23 22:12:40
CR-65,Data breach notification sent to affected users.,Data,User C,"",Group C,Service C,Canceled,Low,P1,Medium,High,Model B,2023-12-16 18:12:40,2023-12-16 20:12:40,2023-12-16 22:12:40
CR-66,Security alert: Unauthorized access attempt detected.,SLA Breach,User B,User C,Group C,Service A,Closed,Low,P2,Low,Low,Model C,2024-12-10 18:12:40,2024-12-10 20:12:40,2024-12-10 22:12:40
CR-67,Service unavailable due to maintenance,Software,User A,User B,Group B,Service C,Closed,Low,P1,Medium,High,Model A,2024-06-08 18:12:40,2024-06-08 20:12:40,2024-06-08 21:12:40
CR-68,Security alert: Unauthorized access attempt detected.,Failure,User B,User A,Group A,Service B,Canceled,High,P3,High,Low,Model A,2024-09-28 18:12:40,2024-09-28 21:12:40,2024-09-29 01:12:40
CR-69,Service unavailable due to maintenance,Data,User B,"",Group C,Service B,Closed,Low,P1,Low,Medium,Model A,2024-08-14 18:12:40,2024-08-14 21:12:40,2024-08-14 22:12:40
CR-70,Critical alert: Database server overload detected.,Access,User D,User B,Group C,Service A,Resolved,High,P2,Medium,Medium,Model B,2024-07-12 18:12:40,2024-07-12 20:12:40,2024-07-13 00:12:40
CR-71,Security alert: Unauthorized access attempt detected.,SLA Breach,User B,"",Group C,Service A,Resolved,High,P1,Low,Low,Model B,2025-01-11 18:12:40,2025-01-11 19:12:40,2025-01-11 23:12:40
CR-72,Service outage detected - No connection to database.,Hardware,User B,User A,Group A,Service C,Resolved,Low,P2,Medium,Low,Model A,2025-05-16 18:12:40,2025-05-16 21:12:40,2025-05-17 01:12:40
CR-73,User login failed: Account locked due to excessive login attempts.,Software,User A,User D,Group B,Service B,In Progress,High,P3,High,Medium,Model B,2025-04-13 18:12:40,2025-04-13 19:12:40,
CR-74,Security alert: Unauthorized access attempt detected.,SLA Breach,User B,"",Group C,Service B,Closed,Low,P3,Medium,High,Model C,2024-06-05 18:12:40,2024-06-05 19:12:40,2024-06-05 23:12:40
CR-75,Data breach notification sent to affected users.,Network,User B,"",Group B,Service A,On Hold,High,P1,Low,Low,Model A,2025-03-26 18:12:40,,
CR-76,Network issue: Unable to connect to external API.,Access,User D,User D,Group A,Service C,Canceled,High,P2,Low,Medium,Model B,2025-05-20 18:12:40,2025-05-20 19:12:40,2025-05-20 23:12:40
CR-77,Service unavailable due to maintenance,Complaint,User C,"",Group A,Service C,In Progress,High,P2,Low,Low,Model A,2023-12-18 18:12:40,2023-12-18 19:12:40,
CR-78,Security patch applied: Monitoring for any issues.,Failure,User A,User B,Group C,Service B,On Hold,High,P2,Low,Medium,Model A,2025-05-18 18:12:40,,
CR-79,Data breach notification sent to affected users.,Failure,User B,User A,Group B,Service C,Closed,Medium,P3,Low,Low,Model A,2025-02-23 18:12:40,2025-02-23 20:12:40,2025-02-23 23:12:40
CR-80,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Complaint,User C,"",Group A,Service B,On Hold,High,P3,Medium,Low,Model C,2025-08-05 18:12:40,,
CR-81,Data breach notification sent to affected users.,Complaint,User C,"",Group B,Service C,Resolved,Medium,P1,Medium,Low,Model B,2024-04-21 18:12:40,2024-04-21 19:12:40,2024-04-21 23:12:40
CR-82,Critical alert: Database server overload detected.,Complaint,User D,User B,Group B,Service C,Canceled,Medium,P2,Low,Medium,Model C,2024-05-31 18:12:40,2024-05-31 19:12:40,2024-05-31 21:12:40
CR-83,Failed Workflow - ID: 0000,Access,User B,User B,Group B,Service C,Resolved,Medium,P1,High,High,Model A,2024-02-16 18:12:40,2024-02-16 19:12:40,2024-02-16 21:12:40
CR-84,Routine check: All systems operational - No issues detected.,Hardware,User D,User A,Group A,Service B,Canceled,Medium,P1,Medium,Medium,Model C,2024-03-23 18:12:40,2024-03-23 21:12:40,2024-03-24 00:12:40
CR-85,Service unavailable due to maintenance,Hardware,User A,User A,Group C,Service C,Canceled,High,P1,Medium,Medium,Model C,2024-11-26 18:12:40,2024-11-26 20:12:40,2024-11-26 23:12:40
CR-86,Network issue: Unable to connect to external API.,Failure,User D,User B,Group B,Service B,In Progress,High,P3,Low,Medium,Model B,2025-08-09 18:12:40,2025-08-09 21:12:40,
CR-87,Service outage detected - No connection to database.,Software,User A,User B,Group C,Service C,Closed,Low,P2,Medium,Medium,Model B,2024-04-16 18:12:40,2024-04-16 21:12:40,2024-04-17 00:12:40
CR-88,Suspicious activity detected on account: User A.,Data,User D,"",Group B,Service B,In Progress,Medium,P1,High,High,Model A,2025-08-20 18:12:40,2025-08-20 20:12:40,
CR-89,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User A,User C,Group B,Service B,Canceled,Low,P1,Medium,Medium,Model A,2025-02-13 18:12:40,2025-02-13 20:12:40,2025-02-13 22:12:40
CR-90,Security patch applied: Monitoring for any issues.,SLA Breach,User B,User B,Group C,Service C,In Progress,High,P3,High,Medium,Model B,2024-10-14 18:12:40,2024-10-14 20:12:40,
CR-91,Security alert: Unauthorized access attempt detected.,Complaint,User A,User C,Group B,Service C,In Progress,Medium,P1,High,Medium,Model B,2024-02-16 18:12:40,2024-02-16 20:12:40,
CR-92,Service unavailable due to maintenance,Software,User C,User C,Group A,Service B,On Hold,High,P2,High,Low,Model B,2024-10-09 18:12:40,,
CR-93,Security alert: Unauthorized access attempt detected.,Failure,User B,User B,Group C,Service C,In Progress,High,P1,High,High,Model C,2024-06-15 18:12:40,2024-06-15 21:12:40,
CR-94,Data breach notification sent to affected users.,Network,User D,User B,Group B,Service A,Resolved,Medium,P1,Low,Medium,Model C,2024-10-15 18:12:40,2024-10-15 20:12:40,2024-10-15 22:12:40
CR-95,Security patch applied: Monitoring for any issues.,Failure,User C,User B,Group B,Service C,On Hold,Medium,P1,Low,Medium,Model B,2024-05-10 18:12:40,,
CR-96,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User C,User A,Group B,Service B,In Progress,High,P1,High,Low,Model A,2024-02-05 18:12:40,2024-02-05 20:12:40,
CR-97,Data breach notification sent to affected users.,Complaint,User C,User C,Group A,Service C,On Hold,Low,P2,Medium,Low,Model C,2023-12-24 18:12:40,,
CR-98,Network issue: Unable to connect to external API.,Software,User B,User A,Group C,Service C,On Hold,Low,P3,Medium,Low,Model B,2024-11-26 18:12:40,,
CR-99,Security patch applied: Monitoring for any issues.,Software,User D,User A,Group C,Service A,Canceled,High,P2,High,Medium,Model A,2025-09-15 18:12:40,2025-09-15 19:12:40,2025-09-15 20:12:40
CR-100,Routine check: All systems operational - No issues detected.,Access,User D,User B,Group A,Service C,Closed,Low,P2,High,Medium,Model C,2025-08-12 18:12:40,2025-08-12 21:12:40,2025-08-13 01:12:40
CR-101,Suspicious activity detected on account: User A.,Data,User C,User A,Group C,Service B,Resolved,Medium,P3,Medium,Low,Model A,2025-05-16 18:12:40,2025-05-16 20:12:40,2025-05-16 23:12:40
CR-102,Performance report: Sluggish response times on application.,Data,User B,"",Group A,Service B,Resolved,High,P1,Medium,Low,Model C,2024-05-22 18:12:40,2024-05-22 21:12:40,2024-05-23 00:12:40
CR-103,Failed Workflow - ID: 0000,Complaint,User C,User A,Group B,Service C,New,High,P2,High,Medium,Model B,2025-03-25 18:12:40,,
CR-104,Failed Workflow - ID: 0000,Data,User D,User A,Group A,Service C,New,Medium,P1,Low,High,Model A,2024-07-26 18:12:40,,
CR-105,Failed Workflow - ID: 0000,Access,User A,User A,Group A,Service C,Resolved,Low,P3,Low,High,Model A,2024-09-20 18:12:40,2024-09-20 19:12:40,2024-09-20 21:12:40
CR-106,Critical alert: Database server overload detected.,Hardware,User A,"",Group C,Service C,In Progress,Low,P3,High,High,Model B,2023-12-28 18:12:40,2023-12-28 19:12:40,
CR-107,Service unavailable due to maintenance,Data,User D,User D,Group B,Service B,Canceled,High,P2,Low,Medium,Model B,2024-08-28 18:12:40,2024-08-28 19:12:40,2024-08-28 21:12:40
CR-108,Routine check: All systems operational - No issues detected.,SLA Breach,User A,User C,Group B,Service A,Resolved,Low,P2,High,Low,Model A,2025-07-12 18:12:40,2025-07-12 21:12:40,2025-07-13 01:12:40
CR-109,Routine check: All systems operational - No issues detected.,Access,User B,User B,Group A,Service C,Resolved,Medium,P1,Medium,Medium,Model A,2025-02-25 18:12:40,2025-02-25 19:12:40,2025-02-25 21:12:40
CR-110,Service unavailable due to maintenance,SLA Breach,User A,User C,Group C,Service B,In Progress,Medium,P2,High,Low,Model A,2024-12-15 18:12:40,2024-12-15 21:12:40,
CR-111,Service outage detected - No connection to database.,Hardware,User B,User B,Group B,Service A,New,Low,P3,Low,High,Model B,2024-10-16 18:12:40,,
CR-112,Suspicious activity detected on account: User A.,Software,User D,"",Group B,Service C,Closed,High,P1,Low,Medium,Model C,2025-08-19 18:12:40,2025-08-19 20:12:40,2025-08-19 23:12:40
CR-113,Performance report: Sluggish response times on application.,SLA Breach,User A,"",Group A,Service A,On Hold,High,P1,Medium,High,Model A,2024-03-23 18:12:40,,
CR-114,Routine check: All systems operational - No issues detected.,Network,User A,"",Group C,Service B,Resolved,High,P3,Low,High,Model A,2025-11-05 18:12:40,2025-11-05 21:12:40,2025-11-05 22:12:40
CR-115,User login failed: Account locked due to excessive login attempts.,Access,User C,User A,Group A,Service B,Canceled,High,P2,Low,Medium,Model C,2024-02-08 18:12:40,2024-02-08 21:12:40,2024-02-09 01:12:40
CR-116,Data breach notification sent to affected users.,Complaint,User C,User C,Group A,Service B,In Progress,Low,P3,Low,High,Model A,2024-03-15 18:12:40,2024-03-15 19:12:40,
CR-117,Failed Workflow - ID: 0000,SLA Breach,User D,User A,Group B,Service C,Canceled,High,P1,Low,Low,Model A,2025-10-08 18:12:40,2025-10-08 20:12:40,2025-10-09 00:12:40
CR-118,Service outage detected - No connection to database.,Software,User C,User D,Group A,Service A,In Progress,Medium,P2,High,Low,Model C,2025-02-07 18:12:40,2025-02-07 20:12:40,
CR-119,Failed Workflow - ID: 0000,Complaint,User B,User B,Group B,Service C,New,Medium,P3,Medium,Medium,Model C,2025-10-24 18:12:40,,
CR-120,Routine check: All systems operational - No issues detected.,Software,User B,User A,Group A,Service C,Canceled,Medium,P2,Low,High,Model B,2024-01-30 18:12:40,2024-01-30 19:12:40,2024-01-30 22:12:40
CR-121,Service outage detected - No connection to database.,SLA Breach,User C,User B,Group B,Service C,New,Low,P1,Medium,Medium,Model A,2024-07-08 18:12:40,,
CR-122,Data breach notification sent to affected users.,Data,User D,User C,Group A,Service B,In Progress,Medium,P3,Medium,High,Model B,2025-06-18 18:12:40,2025-06-18 20:12:40,
CR-123,Critical alert: Database server overload detected.,Network,User A,User B,Group A,Service A,On Hold,High,P3,Low,Medium,Model A,2024-04-27 18:12:40,,
CR-124,Network issue: Unable to connect to external API.,Data,User D,User B,Group B,Service C,Resolved,Low,P2,Medium,High,Model B,2025-11-06 18:12:40,2025-11-06 20:12:40,2025-11-06 21:12:40
CR-125,Data breach notification sent to affected users.,Data,User A,User A,Group B,Service B,In Progress,Low,P2,Low,High,Model A,2024-04-25 18:12:40,2024-04-25 21:12:40,
CR-126,Critical alert: Database server overload detected.,Network,User A,User C,Group A,Service B,Canceled,Low,P3,Low,Low,Model C,2024-03-22 18:12:40,2024-03-22 21:12:40,2024-03-22 23:12:40
CR-127,Network issue: Unable to connect to external API.,Hardware,User C,User D,Group C,Service C,In Progress,Medium,P2,High,Low,Model B,2025-10-10 18:12:40,2025-10-10 21:12:40,
CR-128,Service outage detected - No connection to database.,Facilities,User A,User B,Group C,Service C,Canceled,Medium,P2,Medium,Medium,Model B,2024-06-23 18:12:40,2024-06-23 21:12:40,2024-06-24 01:12:40
CR-129,User login failed: Account locked due to excessive login attempts.,Hardware,User C,User C,Group A,Service B,Canceled,Medium,P3,Low,Medium,Model B,2024-07-03 18:12:40,2024-07-03 21:12:40,2024-07-04 00:12:40
CR-130,Performance report: Sluggish response times on application.,Facilities,User D,User D,Group B,Service B,Closed,Low,P1,Medium,High,Model C,2024-08-25 18:12:40,2024-08-25 20:12:40,2024-08-25 21:12:40
CR-131,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Facilities,User D,User A,Group C,Service A,On Hold,High,P1,High,High,Model B,2025-03-06 18:12:40,,
CR-132,Service unavailable due to maintenance,Hardware,User C,User A,Group A,Service C,Closed,Low,P3,High,High,Model B,2025-04-12 18:12:40,2025-04-12 19:12:40,2025-04-12 21:12:40
CR-133,Security patch applied: Monitoring for any issues.,Access,User B,User D,Group A,Service A,In Progress,High,P3,Low,Medium,Model A,2024-05-25 18:12:40,2024-05-25 20:12:40,
CR-134,Suspicious activity detected on account: User A.,Software,User C,"",Group A,Service A,In Progress,Medium,P1,High,High,Model B,2024-01-15 18:12:40,2024-01-15 21:12:40,
CR-135,Performance report: Sluggish response times on application.,SLA Breach,User B,User C,Group A,Service A,New,High,P2,High,Low,Model A,2024-03-16 18:12:40,,
CR-136,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User A,User D,Group A,Service C,Canceled,High,P1,Low,Medium,Model B,2025-02-03 18:12:40,2025-02-03 19:12:40,2025-02-03 23:12:40
CR-137,Routine check: All systems operational - No issues detected.,Software,User A,User D,Group C,Service C,On Hold,Medium,P3,Low,Medium,Model C,2025-09-20 18:12:40,,
CR-138,User login failed: Account locked due to excessive login attempts.,Facilities,User A,User A,Group A,Service C,Canceled,Medium,P1,Low,Medium,Model A,2024-07-29 18:12:40,2024-07-29 19:12:40,2024-07-29 20:12:40
CR-139,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User A,"",Group A,Service B,On Hold,Medium,P3,High,Low,Model A,2024-03-26 18:12:40,,
CR-140,Security patch applied: Monitoring for any issues.,Complaint,User B,User D,Group C,Service C,Resolved,Low,P1,High,Medium,Model A,2024-07-26 18:12:40,2024-07-26 20:12:40,2024-07-26 21:12:40
CR-141,Service unavailable due to maintenance,Complaint,User C,User C,Group B,Service A,New,Low,P1,Medium,High,Model A,2024-01-11 18:12:40,,
CR-142,User login failed: Account locked due to excessive login attempts.,Facilities,User A,User A,Group B,Service C,New,Low,P3,High,Low,Model A,2025-09-01 18:12:40,,
CR-143,Failed Workflow - ID: 0000,Failure,User D,"",Group A,Service A,Canceled,Medium,P2,Medium,Low,Model B,2024-08-24 18:12:40,2024-08-24 21:12:40,2024-08-24 22:12:40
CR-144,Service unavailable due to maintenance,Software,User B,User A,Group B,Service B,On Hold,High,P1,High,High,Model B,2025-03-31 18:12:40,,
CR-145,Service unavailable due to maintenance,Failure,User D,User D,Group C,Service A,New,Medium,P3,High,High,Model C,2025-06-06 18:12:40,,
CR-146,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User B,User A,Group C,Service C,New,Medium,P2,High,Medium,Model A,2024-11-23 18:12:40,,
CR-147,Security alert: Unauthorized access attempt detected.,Facilities,User B,"",Group B,Service C,New,High,P3,Medium,High,Model A,2025-02-18 18:12:40,,
CR-148,Failed Workflow - ID: 0000,Software,User A,User D,Group C,Service C,New,High,P3,Medium,Low,Model B,2024-02-07 18:12:40,,
CR-149,Routine check: All systems operational - No issues detected.,Software,User B,User D,Group C,Service B,Closed,Medium,P3,Low,High,Model A,2024-06-17 18:12:40,2024-06-17 20:12:40,2024-06-17 22:12:40
CR-150,Suspicious activity detected on account: User A.,Software,User B,User C,Group C,Service B,Canceled,Medium,P2,Medium,High,Model A,2025-05-21 18:12:40,2025-05-21 21:12:40,2025-05-22 00:12:40
CR-151,Security patch applied: Monitoring for any issues.,Access,User B,User D,Group B,Service B,On Hold,High,P2,High,Medium,Model C,2025-11-14 18:12:40,,
CR-152,Failed Workflow - ID: 0000,SLA Breach,User A,User C,Group A,Service B,New,Medium,P2,Medium,High,Model C,2025-04-20 18:12:40,,
CR-153,Routine check: All systems operational - No issues detected.,Facilities,User C,User D,Group C,Service B,On Hold,Low,P1,Low,Low,Model B,2024-04-21 18:12:40,,
CR-154,Service outage detected - No connection to database.,Complaint,User C,"",Group A,Service B,Resolved,High,P2,Medium,Low,Model A,2023-12-20 18:12:40,2023-12-20 20:12:40,2023-12-20 21:12:40
